symbol,side,qty,entry_price,current_price,market_value_usd,unrealized_pnl_usd,stop_price,targets,filled_targets,opened_iso,last_update_iso
ETH,long,0.8661008141,4615.46,4589.39,3974.87,-22.58,4500,4650|4750,,2025-09-14T14:06:47.155321+00:00,2025-09-14T14:06:47.155323+00:00
TRX,long,2837.22585,0.3483,0.3472,985.08,-3.12,0.337851,0.4|0.45,,2025-09-14T14:06:47.156727+00:00,2025-09-14T14:06:47.156728+00:00
WLFI,long,3210.403027,0.2124,0.2121,680.93,-0.96,0.20406285,0.22|0.23,,2025-09-14T14:26:49.716626+00:00,2025-09-14T14:26:49.716628+00:00
BNB,long,3.068297585,926.34,926.81,2843.73,1.44,920,940|960,,2025-09-14T14:59:11.660440+00:00,2025-09-14T14:59:11.660442+00:00
SUI,long,131.3157463,3.6536,3.6522,479.59,-0.18,3.543992,3.696023588|3.738447176,,2025-09-14T15:23:41.009490+00:00,2025-09-14T15:23:41.009492+00:00
