ts_iso,action,symbol,direction,qty,price,notional_usd,equity_usd,stop_price,targets,note
2025-09-14T14:05:04.966530+00:00,OPEN,ETH,long,0.8661008141,4615.46,3997.45,6002.55,4500,4650|4750,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,WLFI,long,7289.692597,0.2134,1555.62,4446.93,0.2051657072,0.2202619107|0.2271238214,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,DOGE,long,5246.367401,0.28254,1482.31,2964.62,0.2740638,0.3|0.35,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,TRX,long,2837.22585,0.3483,988.21,1976.41,0.337851,0.4|0.45,open_pos
2025-09-14T14:05:04.966530+00:00,OPEN,AVAX,long,29.0648754,29.33,852.47,1123.94,28.65,30.05|30.95,open_pos
2025-09-14T14:11:47.166299+00:00,REPLACE_CLOSE,WLFI,long,7289.692597,0.2145,1563.64,2687.58,0.2051657072,0.2202619107|0.2271238214,replaced_by=XRP
2025-09-14T14:11:47.166299+00:00,OPEN,XRP,long,605.3103139,3.0444,1842.81,844.77,3,3.15|3.25,open_pos
2025-09-14T14:25:09.109290+00:00,REPLACE_CLOSE,XRP,long,605.3103139,3.0262,1831.79,2676.56,3,3.15|3.25,replaced_by=WLFI
2025-09-14T14:25:09.109290+00:00,OPEN,WLFI,long,3210.403027,0.2124,681.89,1994.67,0.20406285,0.22|0.23,open_pos
2025-09-14T14:53:39.505871+00:00,CLOSE_INV,ETH,long,0.8661008141,4592.11,3977.23,5971.90,4537.990278,4650|4750,RSI<40
2025-09-14T14:53:39.505871+00:00,CLOSE_INV,DOGE,long,5246.367401,0.27507,1443.12,7415.02,0.2740638,0.3|0.35,RSI<40
2025-09-14T14:53:39.505871+00:00,CLOSE_INV,TRX,long,2837.22585,0.3472,985.08,8400.10,0.3450600803,0.4|0.45,RSI<40
2025-09-14T14:53:39.505871+00:00,CLOSE_INV,AVAX,long,29.0648754,29.01,843.17,9243.28,28.65,30.05|30.95,RSI<40
2025-09-14T15:02:44.878265+00:00,OPEN,WETH,long,1.003776301,4604.251402,4621.64,4621.64,4512.166374,4800|5200|5600,style=swing
2025-09-14T15:02:44.878265+00:00,OPEN,SUI,long,631.8029312,3.6575,2310.82,2310.82,3.58435,3.725|3.85,style=None
2025-09-14T15:02:44.878265+00:00,OPEN,BTC,long,0.01001128934,115410.67,1155.41,1155.41,113102.4566,120000|125000|130000,style=swing
2025-09-14T15:12:25.474220+00:00,CLOSE_INV,SUI,long,631.8029312,3.6499,2306.02,3461.43,3.58435,3.725|3.85,RSI<40
2025-09-14T15:12:25.474220+00:00,CLOSE_INV,BTC,long,0.01001128934,115350.47,1154.81,4616.23,114832.7162,120000|125000|130000,RSI<40
2025-09-14T15:12:25.474220+00:00,OPEN,ETH,long,0.5033632974,4585.39,2308.12,2308.12,4493.6822,4685|4785|4885,style=swing
2025-09-14T15:21:20.093888+00:00,CLOSE_INV,ETH,long,0.5033632974,4594.78,2312.84,4620.96,4541.245973,4685|4785|4885,RSI<40
2025-09-14T15:31:01.267365+00:00,OPEN,BNB,long,2.492965387,926.8,2310.48,2310.48,908.264,954.8|970.1,style=swing
2025-09-14T15:31:01.267365+00:00,OPEN,ETH,long,0.2518932021,4586.23,1155.24,1155.24,4494.5054,4605|4650|4700,style=None
2025-09-14T15:31:01.267365+00:00,OPEN,GT,short,29.1973954,17.19810424,502.14,653.10,17.59376972,16.85|17.05,style=None
2025-09-14T15:39:53.549528+00:00,CLOSE_INV,ETH,long,0.2518932021,4594.24,1157.26,1810.36,4539.905973,4605|4650|4700,RSI<40
2025-09-14T15:39:53.549528+00:00,STOP,GT,short,29.1973954,17.19810424,502.14,2312.50,17.59376972,16.85|17.05,stop_hit
2025-09-14T15:39:53.549528+00:00,OPEN,DOGE,long,4200.417745,0.27527,1156.25,1156.25,0.2697646,0.294|0.32,style=None
2025-09-14T15:39:53.549528+00:00,OPEN,ETH,long,0.1258587238,4593.44,578.12,578.12,4501.5712,4635|4665|4695,style=swing
2025-09-14T15:39:53.549528+00:00,OPEN,BTC,long,0.002505853663,115354.8,289.06,289.06,113047.704,122500|125000|127500,style=None
2025-09-14T15:56:45.031211+00:00,CLOSE_INV,DOGE,long,4200.417745,0.27306,1146.97,1436.03,0.2697646,0.294|0.32,RSI<40
2025-09-14T15:56:45.031211+00:00,CLOSE_INV,ETH,long,0.1258587238,4580.07,576.44,2012.47,4526.535973,4635|4665|4695,RSI<40
2025-09-14T15:56:45.031211+00:00,CLOSE_INV,BTC,long,0.002505853663,115217.35,288.72,2301.19,114694.6539,122500|125000|127500,bearish candle; RSI<40
2025-09-14T15:56:45.031211+00:00,OPEN,XRP,long,379.7089138,3.0302,1150.59,1150.59,2.969596,3.0432|3.0618|3.0805,style=None
